id,english word,type,chinese meaning,sentence1,sentence2,sentence3
31,industrial,adj/n,工业的；产业的；工业股票,Rapid industrial development has led to air pollution.,He works in an industrial zone on the outskirts of the city.,Investors are buying industrial stocks.
32,execute,vt,实行；执行；处死,The programmer wrote the code, and the computer will execute it.,The king ordered to execute the traitor.,The plan was carefully thought out but poorly executed.
33,smog,n,烟雾,Heavy smog caused the airport to close.,The city is covered in a thick layer of smog.,Air pollution creates smog that is harmful to breathe.
34,lifestyle,n,生活方式,He adopted a healthier lifestyle including diet and exercise.,Her extravagant lifestyle was expensive to maintain.,Modern lifestyle often involves a lot of sitting.
35,author,n/vt,作者；创始人；创作出版,Stephen King is a famous author of horror novels.,She authored several books on gardening.,He is the author of the company's new marketing strategy.
36,ethical,adj,伦理的；道德的；处方药,It is not ethical to lie to your clients.,Doctors have a strong ethical obligation to help patients.,The company is praised for its ethical business practices.
37,property,n,性质，性能；财产；所有权,This building is private property.,One property of aluminum is its light weight.,The scientist tested the chemical properties of the substance.
38,mechanize,vt,使机械化；机动化；用机械装置,Farming has been highly mechanized in developed countries.,The factory mechanized its assembly line to increase production.,They are trying to mechanize the entire process.
39,personnel,n/adj,人事部门；全体人员；人员的,All personnel must attend the safety meeting.,She works in the personnel department.,The personnel manager is responsible for hiring new staff.
40,expulsion,n,驱逐；开除,The student faced expulsion for cheating on the exam.,The expulsion of the diplomat worsened relations between the two countries.,His expulsion from the club was final.
41,purchasing,n/adj/v,购买；采购；获得,The company's purchasing department negotiates with suppliers.,The purchasing power of the currency has decreased.,He is responsible for purchasing all the office supplies.
42,conservation,n,保存，保持；保护,Water conservation is important during the drought.,The community is working on the conservation of the old building.,Wildlife conservation efforts have helped save the panda from extinction.
43,decomposer,n,分解体；分解器,Fungi and bacteria are important decomposers in the forest.,Without decomposers, dead matter would not break down.,The decomposer breaks down the dead plant into nutrients for the soil.
44,maintenance,n,维护，维修；保持；生活费用,Regular maintenance of your car can prevent costly repairs.,He is responsible for the building's maintenance.,She works a second job to pay for her maintenance.
45,acute,adj,严重的，急性的；敏锐的；激烈的；尖声的,The patient is suffering from acute pain.,He has an acute sense of hearing.,The company is facing an acute financial crisis.
46,inspection,n,视察，检查,The thorough inspection of the building revealed several safety hazards.,The general made an inspection of the troops.,Before buying a used car, a mechanical inspection is recommended.
47,fiction,n,小说；虚构，编造；谎言,He prefers reading fiction to non-fiction.,The story is purely a work of fiction.,Her account of the event was complete fiction.
48,transparency,n,透明，透明度；幻灯片；有图案的玻璃,The transparency of the water is amazing.,The organization called for greater financial transparency.,He used a transparency to project the image onto the screen.
49,academic,adj/n,学术的；理论的；学院；大学教师,She is known for her academic achievements.,The university has a strong academic reputation.,He has spent his entire career as an academic.
50,metamorphosis,n,变形；变质,The transformation of a caterpillar into a butterfly is a metamorphosis.,His character has undergone a complete metamorphosis.,In the story, the main character experiences a magical metamorphosis.
51,gregarious,adj,社交的；群居的,She is gregarious and loves to attend parties.,Humans are gregarious animals who need social interaction.,He is not very gregarious; he prefers to stay at home alone.
52,glucose,n,葡萄糖；葡糖,Your body converts carbohydrates into glucose for energy.,Patients with low blood sugar may need a glucose injection.,Glucose is a simple sugar that is a primary energy source for cells.
53,minority,n,少数民族；少数派；未成年,The company's board is dominated by a small minority of shareholders.,Members of the minority group faced discrimination.,He is part of a minority in his political party.
54,architecture,n,建筑学；建筑风格；架构,She studied architecture at university.,The architecture of the old town attracts many tourists.,The software's architecture needs to be redesigned.
55,compliance,n,顺从，服从；符合；屈从；可塑性,The factory's safety measures are in compliance with regulations.,Compliance with the rules is mandatory for all members.,He was praised for his compliance with the difficult orders.
56,contentment,n,满足；满意,He sighed with a feeling of pure contentment.,She found contentment in a simple life with her family.,Money cannot guarantee happiness or contentment.
57,cultivation,n,培养；耕作；耕种；教化；文雅,These fields are under cultivation for wheat.,The cultivation of good habits begins in childhood.,He is a man of great learning and cultivation.
58,irony,n,讽刺；反语；具有讽刺意味的事；铁的,The irony is that he became famous for something he hated doing.,She used irony when she said the weather was ""lovely"" during a hurricane.,It was a cruel irony that the fire station burned down.
59,making,n,发展；制造；形成,The making of this film took over three years.,That decision was the making of his career.,The cake is in the making.
60,inequality,n,不平等；不同；不平均,There is a great deal of inequality between the rich and the poor.,The law seeks to address racial inequality.,The inequality in their sizes made the task difficult.
61,identify,vt/vi,确定；鉴定；识别；认同,Can you identify the man who robbed you?,The witness was asked to identify the suspect from a lineup.,Many people identify with the main character in the novel.
62,sedimentary,adj,沉淀的,Sedimentary rocks like sandstone are formed from layers of deposit.,The fossil was found in a layer of sedimentary rock.,The geologist studied the sedimentary layers in the cliff.
63,adequate,adj,充足的；适当的；胜任的,Her salary is adequate for her needs.,Make sure you have an adequate supply of water for the hike.,He was adequate for the job but not exceptional.
64,keyword,n,密码；关键字,Type your keyword into the search box to find the document.,The keyword for the safe is ""blueberry."",His speech contained all the popular keywords of the movement.
65,ensure,vt,保证，确保；使安全,Please ensure that all doors are locked before you leave.,This pill will ensure you a good night's sleep.,Hard work alone does not ensure success.
66,photosynthesis,n,光合作用,Plants use photosynthesis to convert sunlight into energy.,The rate of photosynthesis is affected by the amount of light.,Oxygen is released as a byproduct of photosynthesis.
67,ratification,n,批准；承认，认可,The treaty requires ratification by all member states.,The amendment was sent to the states for ratification.,They celebrated the ratification of the agreement.
68,atom,n,原子,Water is made up of two hydrogen atoms and one oxygen atom.,Scientists can split the atom to release energy.,Every atom in your body was once part of a star.
69,clogged,adj/v,阻塞的；堵住；妨碍,The sink is clogged with hair and soap scum.,His arteries became clogged from a poor diet.,The traffic is clogged due to an accident ahead.
70,porous,adj,多孔渗水的；能渗透的；有气孔的,Sand is porous and allows water to drain through.,This porous rock is good for filtering water.,The membrane is porous enough to allow certain molecules to pass.
71,emphasize,vt,强调，着重,The teacher emphasized the importance of studying for the exam.,He emphasized that safety was their top priority.,The report emphasizes the need for change.
72,energetic,adj,精力充沛的；积极的；有力的,My dog is very energetic and needs a lot of exercise.,She is an energetic speaker who inspires her audience.,The team put forth an energetic effort to win the game.
73,productivity,n,生产力；生产率；生产能力,The new software is designed to increase office productivity.,Good management can improve a team's productivity.,The factory's productivity has gone down this year.
74,speech,n,演讲；讲话；语音；演说,He gave a moving speech at the wedding.,Freedom of speech is a fundamental right in many countries.,The actor had a speech impediment.
75,interference,n,干扰，冲突；干涉,The radio signal is suffering from interference.,He resented his mother's constant interference in his love life.,The political interference in the investigation was condemned.
76,loan,n/vi/vt,贷款；借款；借出,She took out a loan to buy a new car.,The bank approved his loan application.,Can you loan me $20 until tomorrow?
77,depletion,n,消耗；损耗；放血,The depletion of the ozone layer is a serious environmental issue.,Overfishing has led to the depletion of fish stocks.,The constant stress resulted in the depletion of his energy.
78,steadfast,adj,坚定的；不变的,She remained steadfast in her belief despite the criticism.,He was a steadfast friend through all my difficulties.,The soldier showed steadfast loyalty to his country.
79,census,n/vt,人口普查；统计调查,The national census is conducted every ten years.,Census data is used to allocate government funding.,The government will census the population next year.
80,sauna,n/vi,桑拿浴；洗桑拿浴,He enjoyed a hot sauna after his workout.,The hotel has a gym and a sauna for guests.,He likes to sauna for relaxation after a long week.
81,technique,n,技巧，技术；手法,The artist has a unique painting technique.,This breathing technique can help reduce stress.,Scientists developed a new technique for DNA sequencing.
82,lend,vt/vi,贷；增添；把……借给,Could you lend me your pen for a moment?,The flags lent a festive air to the room.,Banks are often reluctant to lend to new businesses.
83,spectacular,adj,壮观的，惊人的；公开展示的,The fireworks display was spectacular.,He made a spectacular catch in the baseball game.,The view from the mountaintop was truly spectacular.
84,mutualism,n,共栖，互利共生；互助论,The relationship between bees and flowers is an example of mutualism.,Mutualism benefits both species involved in the interaction.,The clownfish and the sea anemone exhibit a form of mutualism.
85,wave,v/n,挥手；海浪；波；涌现的人；飘扬,The surfers rode the large waves into the shore.,She gave a friendly wave as she passed by.,A wave of excitement swept through the crowd.
86,trustworthy,adj,可靠的；可信赖的,He is a trustworthy person; you can believe what he says.,The mechanic seemed knowledgeable and trustworthy.,We need to find a trustworthy babysitter for our children.
87,conquest,n,征服，战胜；战利品,The conquest of the Aztec Empire was a major event in history.,His conquest of Mount Everest was a personal triumph.,He considered his new girlfriend another one of his conquests.
88,survey,n/vt/vi,调查；测量；审视；勘测,The survey showed that most people support the new law.,The engineers surveyed the land before starting construction.,He took a moment to survey the damage to his car.
89,secondary,adj/n,第二的；中等的；次要的；副手,That is a secondary issue; the primary one is funding.,He teaches history at the secondary level.,The assistant is a secondary to the main manager.
90,overdraft,n/vt,透支；透支额,My bank charged me a fee for the overdraft.,He has a large overdraft on his account.,The check caused his account to overdraw.
91,dimension,n/adj/vt,方面；维；尺寸；容积；标出尺寸,The problem has a social dimension that must be considered.,Time is often considered the fourth dimension.,The architect drew the dimensions of the building on the plan.
92,coordinate,v/adj/n,调节；配合；坐标；同等的,The children need to coordinate their movements to win the game.,We need someone to coordinate the whole project.,Give me the coordinates of the target.
93,meal plan,n,膳食计划,The university requires freshmen to purchase a meal plan.,The hospital's meal plan was designed by a nutritionist.,Switching to a vegetarian meal plan can have health benefits.
94,criterion,n,标准；准则；规范；准据,The main criterion for the job is fluency in Spanish.,What are your criteria for judging a good movie?,The product must meet all safety criteria before it can be sold.
95,atmosphere,n,气氛；大气；空气,The party had a lively and friendly atmosphere.,Scientists are studying the Earth's upper atmosphere.,The new restaurant has a pleasant atmosphere.
96,franchise,n/vt,特权；公民权；经销权；赋予特许权,He bought a fast-food franchise and runs his own restaurant.,The right to vote is a basic franchise in a democracy.,The company plans to franchise its brand in new markets.
97,fungi,n,真菌；菌类；蘑菇,Mushrooms and molds are types of fungi.,Fungi play a vital role as decomposers in the ecosystem.,The scientist is a leading expert in the study of fungi.
98 ,trend,n/vi/vt,趋势，倾向；走向；趋向,The current trend in fashion is towards casual clothing.,There is a growing trend towards working from home.,His opinions seem to trend towards the conservative.
99,orientation,n,方向；定向；适应；情况介绍,The orientation for new employees will be held on Monday.,The school provides a week of orientation for freshmen.,His religious orientation is Christian.
100,sustainable,adj,可以忍受的；足可支撑的；养得起的；可持续的,We need to find sustainable sources of energy.,Fishing practices must be sustainable to preserve fish populations.,The project aims to create a sustainable community.
101,validity,n,有效性；正确；正确性,The scientist questioned the validity of the experiment's results.,The validity of the contract expires at the end of the year.,He doubted the validity of her argument.
102,novel,adj/n,新奇的；异常的；小说,She has written a best-selling novel.,That's a novel way to solve the problem.,His approach to teaching is quite novel.
