id,english word,type,chinese meaning,sentence1,sentence2,sentence3
29,security,"n.,adj.","n. 安全，安全性；保证；证券；抵押品; adj. 安全的；保安的；保密的","Airport security checks can take a long time.","She used the house as security for the loan.","The company hired a security guard for the event."
30,operating,"adj.,v.","adj. 操作的；（外科）手术的；营业收支的; v. 操作；动手术","The nurse prepared the operating room for surgery.","The car's operating temperature should be monitored regularly.","He is operating the drone with a remote controller."
31,nonfiction,"n.","n. 非小说的散文文学","I prefer reading nonfiction books about history.","The library has a large section devoted to nonfiction.","Her latest nonfiction work examines the life of Marie Curie."
32,contradict,"vt.,vi.","vt. 反驳；否定；与…矛盾；与…抵触; vi. 反驳；否认；发生矛盾","It's not polite to contradict your teacher in front of the class.","The witness's statement seemed to contradict what the suspect said.","His actions contradict his promises."
33,rational,"adj.,n.","adj. 合理的；理性的; n. 有理数","Try to stay rational instead of letting emotions take over.","We need to come up with a rational explanation for this phenomenon.","The number 3 is a rational number."
34,doctor,"n.,v.","n. 医生；博士；（作头衔或称呼）牙医；诊所；（非正式）建议者；博学的人；人造蝇；（非正式）船上的厨师; v. 篡改，伪造；在（食物或饮料）中添加有害物质；阉割（动物）；为……治病；授以博士学位；修理（机器）；干扰（球）；就医，行医","I have an appointment with the doctor tomorrow morning.","She finally became a doctor of philosophy after five years of study.","He was accused of doctoring the financial reports."
35,instance,"n.,vt.","n. 实例；情况；建议; vt. 举...为例","Can you give me an instance of how this principle works?","In this particular instance, the rules can be made more flexible.","Let me instance just one case among many."
36,galaxy,"n.","n. [天] 星系；银河系（the ）；一群显赫的人; n. 三星智能手机品牌 2015年三星中国公布的中文名称为‘盖乐世’","The Milky Way is the galaxy that contains our solar system.","The Hubble telescope captured images of a distant galaxy.","A galaxy of movie stars attended the premiere."
37,genetic,"adj.","adj. 遗传的；基因的；起源的","Some diseases have a strong genetic component.","Genetic engineering is a controversial area of science.","The research focuses on the genetic diversity of plants."
38,metaphor,"n.","n. 暗喻，隐喻；比喻说法","'Time is a thief' is a classic metaphor.","The author uses a garden as a metaphor for the human mind.","His speech was rich with metaphor and imagery."
39,carbon monoxide,"n.","一氧化碳：一种无色、无味、非常有毒的气体，化学式为CO，它是由碳或碳化合物不完全燃烧的产物之一。","A faulty boiler can release deadly carbon monoxide.","Cars emit carbon monoxide when the engine is running.","The firefighters detected high levels of carbon monoxide in the building."
40,melody,"n.","n. 旋律；歌曲；美妙的音乐","She hummed a familiar melody while cooking.","The composer crafted a melody that was both simple and memorable.","The haunting melody of the violin filled the hall."
41,evolve,"vt.,vi.","vt. 发展；进化；使逐步形成；推断出; vi. 发展，进展；进化；逐步形成","Species evolve over millions of years through natural selection.","The company's strategy has evolved to focus on digital products.","She is trying to evolve a new style of painting."
42,firm,"n.,adj.,adv.,v.","n. 商行；商号；公司; adj. 坚定的；牢固的；严格的；结实的；坚决的；牢牢控制的；坚挺的; adv. 坚信；坚持；稳固地; v. 使坚定；使牢固","She works for a law firm in the city centre.","Make sure the knot is firm before you climb.","He spoke in a firm voice, leaving no room for doubt."
43,room service,"n.","客房服务：酒店向客人提供客房内的服务，包括餐饮、清洁等。· I ordered breakfast from this morning.今天早上我从客房服务部订了早餐。","We were too tired to go out, so we ordered room service.","The hotel has excellent room service, available 24 hours a day.","Could you call room service and ask for an extra pillow?"
44,performance,"n.","n. 性能；绩效；表演；执行；表现","The actor's performance received a standing ovation.","The car's performance on rough roads is impressive.","Her performance at work has been outstanding this year."
45,consent,"n.,v.","n. 准许，同意；赞同，同意；正式批准文件，批文；（古）一致，和谐; v. 同意，准许；（古）赞成（意见、看法等）","You cannot use their data without their prior consent.","He gave a nod of consent when I asked to open the window.","The parents refused to consent to the medical treatment."
46,scarcity,"n.","n. 不足；缺乏","There is a severe scarcity of clean drinking water in the region.","The scarcity of affordable housing is a major urban problem.","During the war, people suffered from food scarcity."
47,sacrifice,"n.,vt.,vi.","n. 牺牲；祭品；供奉; vt. 牺牲；献祭；亏本出售; vi. 献祭；奉献","Parents often make many sacrifices for their children.","In the past, people would sacrifice animals to the gods.","She was willing to sacrifice her weekend to help the team."
48,honesty,"n.","n. 诚实，正直","Honesty is the best policy in any relationship.","He has a reputation for honesty and integrity.","I appreciate your honesty in admitting the mistake."
49,syntax,"n.","n. 语法；句法；有秩序的排列","The teacher explained the basic syntax of a sentence.","In programming, even a small syntax error can cause problems.","We studied the syntax of ancient Greek."
50,username,"n.","n. 用户名","Please enter your username and password to log in.","Your username cannot contain special characters.","She chose a username that reflects her hobby."
51,criticize,"vt.,vi.","vt. 批评；评论；非难; vi. 批评；评论；苛求","It's easy to criticize others, but harder to offer solutions.","The film critic was asked to criticize the latest movie.","He tends to criticize everything she does."
52,scanner,"n.","n. [计] 扫描仪；扫描器；光电子扫描装置","I used a scanner to digitise the old photographs.","The barcode scanner at the checkout wasn't working.","A medical scanner can produce detailed images of the brain."
53,nationalize,"vt.","vt. 使国有化；使民族化；使归化；使成国家","The government decided to nationalize the failing steel industry.","After the revolution, they nationalized all private land.","There were plans to nationalize the railway network."
54,certify,"v.","v. 证明；保证","This document is needed to certify that you are a legal resident.","The mechanic certified that the car was safe to drive.","Only a qualified physician can certify the death."
55,allusion,"n.","n. 暗示；提及","The novel contains several allusions to Shakespeare's plays.","She made an allusion to a popular song during her speech.","His writing is full of classical allusions."
56,thrive,"vi.","vi. 繁荣，兴旺；茁壮成长","The business continues to thrive despite the economic downturn.","Most plants thrive in warm, moist soil.","Children thrive when they feel loved and secure."
57,monopoly,"n.","n. 垄断；垄断者；专卖权","The telecom company has a virtual monopoly in this area.","Monopoly power can lead to higher prices for consumers.","The board game Monopoly has been popular for decades."
58,agriculture,"n.","n. 农业；农耕；农业生产；农艺，农学","Agriculture is the backbone of the country's economy.","Modern agriculture relies heavily on technology.","She is studying sustainable agriculture at university."
59,credit hour,"n.","学分小时：教育学分的计量单位，通常基于每学期每周课堂小时数。","This course counts for three credit hours towards your degree.","You need a total of 120 credit hours to graduate.","Each lab session is worth one credit hour."
60,marketing,"v.,n.","v. 推销，促销；市场宣传，市场推广；买卖；出售; n. 促销，销售；市场营销","She works in the marketing department of a large corporation.","Effective marketing can make a huge difference to sales.","The marketing of the new film started six months before its release."
61,citizen,"n.","n. 公民；市民；老百姓","Every citizen has the right to vote.","She is a citizen of both Canada and France.","The mayor urged citizens to participate in the cleanup."
62,found,"vt.,v.","vt. 创立，建立；创办; v. 找到","They decided to found a charity to help homeless people.","The school was founded in 1902.","He used his savings to found a small tech startup."
63,computer,"n.","n. 计算机；电脑；电子计算机","My computer crashed just before I saved the document.","She spends most of her day in front of a computer screen.","The first electronic computers were enormous machines."
64,hypothesis,"n.","n. 假设","The scientist tested her hypothesis with a series of experiments.","His hypothesis about the cause of the disease turned out to be correct.","Let's proceed on the hypothesis that the market will recover."
65,barrier,"n.,vt.","n. 障碍物，屏障；界线; vt. 把……关入栅栏","Language can be a barrier when travelling abroad.","The fence acted as a barrier to keep the animals in.","We need to break down the barriers that prevent equal opportunities."
66,sum,"n.,vi.,vt.","n. 金额；总数; vi. 概括; vt. 总结；合计","He paid a large sum of money for the painting.","To sum up, we need to act now.","Could you sum the figures in the third column, please?"
67,renew,"vt.,vi.","vt. 使更新；续借；续费；复兴；重申; vi. 更新；重新开始","I need to renew my passport before it expires.","They decided to renew their wedding vows after 20 years.","The warm weather allowed us to renew our outdoor activities."
68,location,"n.","n. 位置；地点；外景拍摄场地","The hotel has a perfect location right on the beach.","The app uses GPS to pinpoint your location.","They are filming the movie at a secret location in the desert."
69,indemnify,"vt.","vt. 赔偿；保护；使免于受罚","The company agreed to indemnify the client against any losses.","The insurance policy will indemnify you for the cost of repairs.","The law indemnifies the police force in such situations."
70,display,"n.,vt.,vi.,adj.","n. 显示；炫耀; vt. 显示；表现；陈列; vi. [动] 作炫耀行为; adj. 展览的；陈列用的","There was a beautiful display of flowers in the window.","He paused to display his travel photos on the table.","The peacock will display its feathers to attract a mate."
71,acquire,"vt.","vt. 获得；取得；学到；捕获","She managed to acquire a rare first edition of the book.","It takes time to acquire a new language.","The company is looking to acquire smaller tech startups."
72,notion,"n.","n. 概念；见解；打算","He has a strange notion of what constitutes a holiday.","The notion that money buys happiness is a myth.","I had no notion of how difficult the task would be."
73,runoff,"n.,adj.","n. [水文] 径流；决赛；流走的东西; adj. 决胜的","The runoff from the factory polluted the river.","There will be a runoff election because no candidate won a majority.","Heavy rain caused considerable surface runoff."
74,accommodate,"vt.,vi.","vt. 容纳；使适应；供应；调解; vi. 适应；调解","The hotel can accommodate up to 500 guests.","We should try to accommodate the needs of all team members.","The meeting room is large enough to accommodate everyone."
75,sculpture,"n.,vt.,vi.","n. 雕塑；雕刻；刻蚀; vt. 雕塑；雕刻；刻蚀; vi. 从事雕刻","The museum has a collection of modern sculpture.","He learned to sculpture figures from marble.","She plans to sculpture a bust of the famous poet."
76,discharge,"v.,n.","v. 准许（某人）离开；释放；排出；放电；履行（职责）；开火；卸货；（法官）撤销（法院命令）; n. 出院，免职；释放；（液体、气体等的）排出；排出物；放电；开枪；下客；履行责任；（债务的）清偿","He was discharged from hospital after a week.","The factory was fined for discharging waste into the lake.","She felt a sense of relief when she had discharged all her duties."
77,masterpiece,"n.","n. 杰作；绝无仅有的人","Many consider this painting to be her masterpiece.","The novel is a masterpiece of 20th-century literature.","The chef's latest dish is an absolute masterpiece."
78,ethanol,"n.","[有化] 乙醇，[有化] 酒精","Ethanol is often blended with petrol to fuel cars.","The laboratory uses pure ethanol for experiments.","Brazil is a major producer of sugarcane-based ethanol."
79,counter,"n.,vt.,vi.,adj.,adv.","n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码; vt. 反击，还击；反向移动，对着干；反驳，回答; vi. 逆向移动，对着干；反驳; adj. 相反的; adv. 反方向地；背道而驰地","She walked up to the counter and paid in cash.","He tried to counter her argument with fresh evidence.","Running counter to the wind was exhausting."
80,dry cleaning,"n.","干洗：使用基本上不含水的有机溶剂清洗织物的过程，也可以指被干洗的物品。","I need to take this suit to the dry cleaning shop.","The label says this dress cannot be dry cleaned.","He picked up his dry cleaning on the way home."
81,coastal,"adj.","adj. 沿海的；海岸的","The coastal road offers stunning views of the sea.","Coastal areas are particularly vulnerable to rising sea levels.","We spent the summer in a small coastal village."
82,deficiency,"n.","n. 缺陷，缺点；缺乏；不足的数额","A vitamin C deficiency can lead to health problems.","The report highlighted several deficiencies in the system.","Iron deficiency is common among young women."
83,simulate,"vt.,adj.","vt. 模仿；假装；冒充; adj. 模仿的；假装的","This computer program can simulate the effects of an earthquake.","He tried to simulate enthusiasm, but his heart wasn't in it.","Pilots use a flight simulator to train for emergencies."
84,empathize,"v.","v. 有同感，起共鸣","I really empathize with anyone who has lost a loved one.","It's important to empathize with your child's feelings.","She could empathize with his situation, having been through it herself."
85,digestion,"n.","n. 消化；领悟","Eating too quickly can interfere with proper digestion.","This herbal tea is said to aid digestion.","The professor's lecture required careful digestion."
86,hemoglobin,"n.","[生化] 血红蛋白；血红素","Red blood cells contain hemoglobin, which carries oxygen.","Low hemoglobin levels may indicate anaemia.","The test measures the amount of hemoglobin in your blood."
87,abstract art,"n.","n. 抽象派；抽象主义","She prefers abstract art to realistic paintings.","The gallery is hosting an exhibition of abstract art.","Many people find abstract art difficult to understand at first."
88,diligent,"adj.","adj. 勤勉的；用功的，费尽心血的","He is a diligent student who always does his homework on time.","Her diligent research led to a breakthrough discovery.","The team worked diligently to meet the deadline."
89,database,"n.","n. 数据库，资料库","All customer information is stored in a central database.","He searched the database for the required records.","The website crashed because the database was overloaded."
90,sulfur dioxide,"n.","[无化] 二氧化硫","Sulfur dioxide is released when coal is burned.","High levels of sulfur dioxide in the air can cause breathing problems.","The volcano emitted clouds of sulfur dioxide."
91,investment,"n.","n. 投资；投入；封锁","Education is the best investment you can make for your future.","The company is planning a huge investment in renewable energy.","Buying a house is often seen as a safe long-term investment."
92,layer,"n.,vt.,vi.","n. 层，层次；膜；[植]压条；放置者，计划者; vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次; vi. 形成或分成层次；[植]通过压条法而生根","There was a thick layer of dust on the shelf.","She wore several layers of clothing to keep warm.","Layer the potatoes and cheese in the dish before baking."
93,valley,"n.","n. 山谷；流域；溪谷","The village is located in a beautiful green valley.","We hiked down into the valley to find the river.","A thick fog filled the valley early in the morning."
94,mass,"n.,adj.,vi.,vt.","n. 块，团；群众，民众；大量，众多；质量; adj. 群众的，民众的；大规模的，集中的; vi. 聚集起来，聚集; vt. 使集合","A mass of people gathered in the square to protest.","The planet has a much greater mass than Earth.","Weapons of mass destruction are banned by international treaties."
95,enable,"v.","v. 使能够；使成为可能；授予权利或方法；（计算机）启动","This scholarship will enable her to attend university.","The software feature enables automatic backup.","Please enable cookies in your browser settings."
96,civil,"adj.","adj. 公民的；民间的；文职的；有礼貌的；根据民法的","Both sides are trying to find a civil solution to the dispute.","She works as a civil engineer for the city council.","Even though they disagree, they remain civil to each other."
97,music,"n.","n. 音乐，乐曲","She listens to music while studying.","The band played live music at the festival.","He has a deep appreciation for classical music."
98,respect,"n.,vt.","n. 尊敬，尊重；方面；敬意; vt. 尊敬，尊重；遵守","We must treat everyone with respect.","In many respects, this is a better plan.","I respect your decision even if I don't agree."
99,partnership,"n.","n. 合伙；[经管] 合伙企业；合作关系；合伙契约","The two companies formed a partnership to develop new technology.","She went into partnership with her best friend to open the cafe.","Trust is essential in any successful partnership."
100,recognition,"n.","n. 识别；承认，认出；重视；赞誉；公认","Voice recognition software has improved a lot recently.","She finally got the recognition she deserves for her work.","The town has changed beyond recognition since I last visited."
101,reliable,"adj.,n.","adj. 可靠的；可信赖的; n. 可靠的人","My car is old but still very reliable.","She is a reliable source of information.","We need someone reliable to manage the project."
102,social,"adj.,n.","adj. 社会的，社交的；群居的; n. 联谊会；联欢会","He enjoys the social aspect of his job most.","The club holds a social every Friday evening.","Social media has changed how we communicate."
