80,devoted,"adjective, verb","献身的；忠诚的, 献身于…；致力于…","He is a devoted father who always puts his children first.","She devoted her entire life to caring for sick animals.","They are a devoted couple who have been married for over fifty years."
84,attention,noun,"注意力；关心；立正！（口令）","The teacher clapped her hands to get the students' attention.","Please pay close attention to the safety instructions.","The puppy was jumping and barking, trying to get our attention."
87,artifact,noun,"人工制品，手工艺品；非自然存在物体（artefact 的另一种拼法）","Archaeologists at the dig site unearthed an ancient Roman artifact.","The museum's most prized artifact is a gold burial mask.","Each artifact in the exhibit tells a story about the culture that created it."
88,concert,"noun, transitive verb, intransitive verb, adjective","音乐会；一致；和谐, 使协调；协同安排, 协调；协力, 音乐会用的；在音乐会上演出的","We bought tickets to see our favorite band in concert next month.","The orchestra performed a beautiful classical music concert.","The school's annual winter concert is always a popular event."
90,entitle,verb,"给（某人）权利（或资格）；给……题名；称呼","This coupon will entitle you to a 20% discount on your purchase.","Being a citizen entitles you to certain rights and responsibilities.","He decided to entitle his autobiography ""A Life of Adventure."""
93,theater,noun,"电影院，戏院，剧场；戏剧；手术室","We are going to the theater tonight to see a new musical.","She studied acting and theater arts in college.","The local movie theater is showing all the latest blockbuster films."
94,exhibit,"transitive verb, noun, intransitive verb","展览；显示；提出（证据等）, 展览品；证据；展示会, 展出；开展览会","The museum will exhibit a collection of rare manuscripts next month.","The patient began to exhibit symptoms of the flu.","The star exhibit at the science museum was the full-size dinosaur skeleton."
98,generosity,noun,"慷慨，大方；宽宏大量","We were touched by the generosity of our neighbors after the fire.","He is well-known for his generosity and his contributions to local charities.","Thank you for your kindness and generosity; it is greatly appreciated."
100,basic,"adjective, noun","基本的；基础的, 基础；要素","Before you can write code, you need a basic understanding of programming logic.","The course covers the basic principles of economics.","Let's review the basics one more time before the test."
1,folklore,noun,"民俗学；民间传说；民间风俗","According to local folklore, a friendly spirit inhabits the ancient forest.","Many classic fairy tales are based on centuries-old folklore.","He is studying the folklore and oral traditions of the indigenous people."
7,downturn,noun,"衰退（经济方面）；低迷时期","The company was forced to lay off employees during the economic downturn.","There has been a significant downturn in the housing market this year.","Experts are concerned that the current trend could lead to a global downturn."
9,controversy,noun,"争论；论战；辩论","The new policy sparked a great deal of controversy among the public.","The senator's remarks created a controversy that dominated the news cycle.","He tried to avoid controversy by giving a neutral statement."
10,cyberbullying,noun,网上欺凌,"Cyberbullying can have a devastating emotional impact on young people.","Schools are implementing new programs to educate students about the dangers of cyberbullying.","She was a victim of cyberbullying and had to delete her social media profiles."
13,aesthetic,"adjective, noun","美的；美学的；审美的，具有审美趣味的, 审美；美学","The architect is known for her clean and minimalist aesthetic.","The interior designer arranged the furniture for both comfort and aesthetic appeal.","From an aesthetic point of view, the painting is a masterpiece."
14,personality,noun,"个性；品格；名人","She has a warm and bubbly personality that makes her popular with everyone.","The two brothers look alike but have very different personalities.","He is a famous television personality known for his witty humor."
15,genre,"noun, adjective","类型；种类；体裁；样式；流派；风俗画, 风俗画的；以日常情景为主题的","My favorite movie genre is science fiction, but I also enjoy comedies.","The bookstore organizes its novels by genre, such as mystery, romance, and fantasy.","The band's music doesn't fit into a single genre; it blends rock, jazz, and funk."
17,exempt,"adjective, verb, noun","被免除（责任或义务）的，获豁免的, 免除，豁免, 被免除义务者（尤指被免税者）","Charitable organizations are often exempt from paying taxes.","Students with perfect attendance were exempt from the final exam.","Due to his diplomatic status, he was exempt from local laws."
