id,english word,type,chinese meaning,sentence1,sentence2,sentence3
31,streak,n. & vi.,条纹，线条；倾向；飞跑，疾驶；加上条纹,"A streak of lightning lit up the sky.","The boy has a rebellious streak that gets him into trouble.","She streaked across the field to score the winning goal."
32,medical,adj. & n.,医学的；药的；内科的；医生；体格检查,"She is seeking medical advice for her back pain.","The medical community is working on a new vaccine.","All new recruits must pass a thorough medical."
33,organ system,n.,器官系统,"The digestive organ system processes food for energy.","We learned about the circulatory organ system in biology.","A disease can affect more than one organ system."
34,sorority,n.,妇女联谊会；女学生联谊会,"She joined a sorority during her first year at college.","The sorority organizes charity events every semester.","Sorority life offers a strong sense of community."
35,tradition,n.,惯例，传统；传说,"It is a family tradition to have turkey for Thanksgiving.","According to tradition, the oldest son inherits the house.","Folk songs are part of the oral tradition of the region."
36,assimilation,n.,同化；吸收；[生化] 同化作用,"The assimilation of immigrants into a new culture takes time.","Assimilation of new information is key to effective learning.","Rapid assimilation of nutrients helps the plant grow."
37,ignore,vt.,驳回诉讼；忽视；不理睬,"He chose to ignore my advice and did it his way.","It is rude to ignore someone when they are speaking to you.","The report's findings cannot be ignored any longer."
38,restrict,vt.,限制；约束；限定,"The new law will restrict the sale of tobacco.","My doctor told me to restrict my sugar intake.","Access to the building is restricted to authorized personnel."
39,reference,n. & vi.,参考，参照；涉及，提及；参考书目；介绍信；证明书；引用,"Please provide a reference from your previous employer.","Make a list of all references at the end of your essay.","He made a reference to his past achievements during the speech."
40,master,n. & v.,主人；大师；硕士；男教师；原件；院长；主宰者；船长；著名画家；少爷；桅船；精通；控制；征服；制作……母版,"He is a grand master of chess.","It takes years to truly master a foreign language.","The dog obeyed its master's command."
41,appreciate,vt. & vi.,欣赏；感激；领会；鉴别；增值；涨价,"I really appreciate your help with this project.","Do you appreciate modern art?","The value of our house has appreciated significantly."
42,worship,n. & vt.,崇拜；礼拜；尊敬；敬奉；宠爱；崇尚,"The church holds worship services every Sunday.","Many ancient cultures worship the sun as a god.","He has an almost unhealthy hero worship for the actor."
43,carbon dioxide,n.,[无化] 二氧化碳,"Trees absorb carbon dioxide and release oxygen.","Burning fossil fuels increases the carbon dioxide in the atmosphere.","Carbon dioxide is a major contributor to global warming."
44,extroversion,n.,[心理] 外向性；[医] 外翻,"His extroversion makes him the life of every party.","Psychology studies measure traits like extroversion and neuroticism.","Extroversion is often associated with seeking social stimulation."
45,primary,adj. & n.,主要的；初级的；基本的；原色；最主要者,"Our primary goal is to ensure customer satisfaction.","She teaches at a primary school.","Red, yellow, and blue are primary colors."
46,solar,adj. & n.,太阳的；日光的；利用太阳光的；与太阳相关的；日光浴室,"Solar panels on the roof generate electricity for the house.","The solar system consists of the sun and orbiting planets.","A solar eclipse occurs when the moon blocks the sun."
47,pride,n. & vt.,自豪；骄傲；自尊心；狮群；使得意，以...自豪,"She takes great pride in her garden.","A pride of lions was resting under the shade of a tree.","His pride was hurt when he wasn't invited to the party."
48,semester,n.,学期；半年,"The fall semester begins in September.","She plans to study abroad for one semester.","Final exams are held at the end of the semester."
49,resume,vt. & n.,（中断后）重新开始，继续；重新回到，恢复（席位、地位或职位）；（停顿或被打断后）继续说；重选；重新占用；梗概，摘要；个人简历，履历,"We will resume our meeting after a short coffee break.","Please send your resume and cover letter by email.","Traffic resumed its normal flow after the accident was cleared."
50,achieve,vt. & vi.,取得；获得；实现；成功；达到预期的目的，实现预期的结果，如愿以偿,"You need to work hard to achieve your dreams.","The company achieved record profits this year.","He finally achieved his goal of running a marathon."
51,indulge,vt. & vi.,满足；纵容；使高兴；使沉迷于…；沉溺；满足；放任,"I like to indulge in a hot bath after a long day.","Don't indulge your children too much or they'll be spoiled.","He indulged his passion for travel by visiting every continent."
52,structural,adj.,结构的；建筑的,"The engineer inspected the building for structural damage.","There are structural similarities between the two languages.","The country is undergoing major structural economic reform."
53,registration,n.,登记；注册；挂号；[纺织] 对花印花,"Vehicle registration fees are due at the beginning of the year.","Conference registration opens today at 9 AM.","The nurse took the patient's registration details."
54,dietary,adj. & n.,饮食的，饭食的；规定食物的；规定的食物；食谱,"She has to follow strict dietary restrictions for her health.","The label lists dietary information like fat and sugar content.","A balanced dietary is essential for a healthy lifestyle."
55,empathy,n.,神入；移情作用；执着；感同身受；共鸣,"Showing empathy towards others builds strong relationships.","A good therapist needs to have empathy with their patients.","She felt a deep empathy for the homeless man shivering in the cold."
56,engage,vt. & vi.,吸引，占用；使参加；雇佣；使订婚；预定；攻击，与……开战；使啮合；从事；参与；答应，保证,"The teacher uses games to engage the students in learning.","They decided to engage a lawyer to handle the case.","The couple got engaged on a romantic trip to Paris."
57,institute,n. & v.,（尤指科学、教育的）机构，研究所，学会；机构建筑；（与法律相关的）注释，概要；实行，建立；授予……职位；提出（诉讼）,"The research institute is known for its work on cancer.","The government plans to institute new safety regulations.","She studied at the Massachusetts Institute of Technology."
58,design,n. & v.,设计；构思；设计图样；装饰图案；打算；计划；制造，意欲,"She is studying fashion design in college.","The architect will design our new house.","This software is designed to meet the needs of small businesses."
59,concierge,n.,门房；看门人,"The hotel concierge recommended an excellent local restaurant.","Ask the concierge for directions to the nearest museum.","The concierge can help you book theater tickets."
60,duration,n.,持续，持续的时间，期间；音长，音延,"Please remain seated for the duration of the performance.","The flood lasted for the duration of the rainy season.","The course is of three months' duration."
61,meteorite,n.,陨石，陨星；流星,"The meteorite left a huge crater in the desert.","Scientists believe this meteorite came from Mars.","A small meteorite crashed through the roof of the house."
62,assemble,vt. & vi.,集合，聚集；装配；收集,"The students assemble in the hall every morning.","He assembled the bookshelf using a set of simple tools.","Protesters started to assemble in the town square."
63,integrate,vt. & vi.,使…完整；使…成整体；求…的积分；表示…的总和；取消隔离；成为一体；整合的；完全的；一体化；集成体,"Schools should integrate children with special needs into regular classes.","It can be difficult for immigrants to integrate into a new society.","The software can integrate with various other applications."
64,myth,n.,神话；虚构的人，虚构的事,"The story of King Arthur is a famous myth from Britain.","Contrary to popular myth, bats are not blind.","The idea that money buys happiness is a myth."
65,profound,adj.,深厚的；意义深远的；渊博的,"The book had a profound impact on my thinking.","There is a profound difference between the two concepts.","Her death caused him profound sadness."
66,adventurous,adj.,爱冒险的；大胆的；充满危险的,"He is an adventurous eater who tries anything.","Their adventurous spirit led them to climb Mount Everest.","The menu is not very adventurous, sticking to classic dishes."
67,devastate,vt.,毁灭；毁坏,"The hurricane is expected to devastate coastal areas.","News of his sudden death devastated his family.","The war continued to devastate the country for years."
68,neighbor,n. & adj.,邻居；邻近的,"Our neighbor brought us a cake when we moved in.","Love your neighbor as yourself is a biblical teaching.","A noisy neighbor can make life very difficult."
69,argue,vi. & vt.,争论，辩论；提出理由,"My parents always argue about money.","The lawyer argued that his client was innocent.","It's hard to argue against the facts."
70,acid rain,n.,酸雨,"Acid rain damages forests and contaminates lakes.","Sulfur dioxide emissions are a major cause of acid rain.","The statue's surface was eroded by years of acid rain."
71,memorize,vt.,记住，背熟；记忆,"I need to memorize my speech for the presentation.","In school, we had to memorize many poems.","Actors spend weeks memorizing their lines."
72,aware,adj.,意识到的；知道的；有…方面知识的；懂世故的,"Are you aware of the risks involved in this investment?","She was suddenly aware of a strange noise behind her.","We need to make more people environmentally aware."
73,discrimination,n.,歧视；区别，辨别；识别力,"The law prohibits discrimination based on race or gender.","She showed great discrimination in her choice of wine.","Racial discrimination is still a serious problem in many societies."
74,reveal,vt.,显示；透露；揭露；泄露,"The curtain rose to reveal a beautiful stage set.","I cannot reveal the secret; I promised not to tell.","The investigation may reveal the truth behind the scandal."
75,statement,n.,声明；陈述，叙述；报表，清单,"The company issued a public statement about the recall.","I have to check my bank statement to see my balance.","His statement to the police was inconsistent with the evidence."
76,modify,vt. & vi.,修改，修饰；更改,"We had to modify our plans because of the bad weather.","Adverbs modify verbs, adjectives, or other adverbs.","The car was modified to run on biofuel."
77,philosophy,n.,哲学；哲理；人生观,"Stoicism is a philosophy that teaches acceptance.","His personal philosophy is to live and let live.","The company's philosophy puts the customer first."
78,headache,n.,头痛；麻烦；令人头痛之事,"Working under this pressure is a constant headache.","I have a splitting headache and need to lie down.","Parking in the city center is a real headache."
79,previous,adj. & adv.,以前的；早先的；过早的；在先；在…以前,"The previous owner of the car kept it in perfect condition.","I couldn't attend the meeting due to a previous engagement.","Please ignore my previous email, as I sent it by mistake."
80,balcony,n.,阳台；包厢；戏院楼厅,"We had breakfast on the hotel balcony overlooking the sea.","From the theater balcony, you get a great view of the stage.","Juliet stood on the balcony in Shakespeare's famous play."
81,facet,n.,面；方面；小平面,"You need to examine every facet of the problem.","The gem's numerous facets sparkled in the light.","A strange facet of his personality is his extreme shyness."
82,goal,n.,目标；球门，得分数；终点,"His goal is to become a doctor.","The striker scored a fantastic goal in the last minute.","Setting a clear goal is the first step to achieving it."
83,dilemma,n.,困境；进退两难；两刀论法,"She faced the dilemma of choosing between her career and her family.","I am in a real dilemma about whether to sell my house or not.","The ethical dilemma troubled the scientist for years."
84,induce,vt.,诱导；引起；引诱；感应,"The doctor decided to induce labor for the pregnant woman.","Certain drugs can induce a feeling of euphoria.","They tried to induce him to sign the contract with a bonus."
85,talent show,n.,才艺表演,"The school talent show is always a big event.","She won first place in the talent show with her singing.","The ""Britain's Got Talent"" talent show is famous worldwide."
86,calendar,n.,日历；[天] 历法；日程表,"Mark the date on your calendar so you don't forget.","The Mayan calendar is famous for its accuracy.","The project's schedule is on a very tight calendar."
87,photosynthesize,vi. & vt.,起光合作用；光能合成；通过光合作用产生,"Plants photosynthesize using sunlight, water, and carbon dioxide.","Only green parts of the plant can photosynthesize.","Algae in the ocean photosynthesize and produce much of Earth's oxygen."
88,endorsement,n.,认可，支持；背书；签注（文件）,"The candidate received the endorsement of the major newspapers.","The athlete's endorsement of the sneaker brand boosted sales.","You need a signature of endorsement on the back of the check."
89,metamorphic,adj.,变质的；变性的；变态的,"Slate is a metamorphic rock formed from shale.","The metamorphic process of a caterpillar into a butterfly is amazing.","Marble is a classic example of a metamorphic stone used in sculpture."
90,potluck,n.,家常便饭；百乐餐（每人自带一个菜的家庭聚会）,"We are having a potluck dinner, so please bring a dish to share.","The office potluck is always full of delicious, homemade food.","For the picnic, it's a potluck, so I'll bring my famous potato salad."
91,minimise,vt.,使缩到最小；成极小；求最小值,"We must take steps to minimise the risk of failure.","Try to minimise distractions while you are studying.","The software is designed to minimise data entry errors."
92,constraint,n.,[数] 约束；局促，态度不自然；强制,"Time was a major constraint for the project.","There are financial constraints that limit what we can do.","She felt a constraint in her new boss's presence."
93,equator,n.,赤道,"The equator divides the Earth into the Northern and Southern Hemispheres.","Countries near the equator have a very hot climate.","Ships crossing the equator often hold a ceremony for first-time sailors."
94,obligation,n.,义务；职责；债务,"You have a legal obligation to pay your taxes.","Feeling an obligation to help, he volunteered his time.","He is under no obligation to attend the party."
95,compassion,n.,同情；怜悯,"Nurses must treat patients with care and compassion.","She was moved by compassion for the stray animals.","His plea for help was met with no compassion whatsoever."
96,creativity,n.,创造力；创造性,"Creativity is an important skill in design and advertising.","Her creativity is expressed through her unique paintings.","The brainstorming session sparked a lot of creativity and new ideas."
97,connectivity,n.,连通（性），联结（度）,"High-speed internet connectivity is essential for modern businesses.","The phone's connectivity to the network keeps dropping.","The new railway improves connectivity between the two cities."
98,observe,vt. & vi.,庆祝；观察；遵守；说；注意到；评论,"Scientists observe the behavior of animals in the wild.","Do you observe Christmas as a religious holiday?","He observed that it was going to be a difficult day."
99,coral,n. & adj.,珊瑚；珊瑚虫；珊瑚的；珊瑚色的,"The Great Barrier Reef is made of coral.","She wore a beautiful coral necklace.","The diver explored the colorful coral formations."
100,whereby,conj. & adv.,凭借；通过…；借以；与…一致；凭此；借以,"They created a system whereby everyone benefits.","There is a new law whereby shop owners must recycle waste.","A plan was drawn up whereby the debt could be repaid."
101,council,n.,委员会；会议；理事会；地方议会；顾问班子,"The city council approved the construction of the new park.","He was elected to the student council.","The Security Council of the United Nations is meeting today."
102,concrete,adj. & vi.,混凝土的；实在的，具体的；有形的；凝结；使凝固；用混凝土修筑；具体物；凝结物,"The driveway is made of concrete.","We need concrete evidence to prove his guilt.","Please give me a concrete example of what you mean."
103,fossil fuel,n.,[能源] 矿物燃料，[能源] 化石燃料,"The world is trying to reduce its dependence on fossil fuel.","Burning fossil fuel releases large amounts of carbon dioxide.","Oil is a liquid fossil fuel formed from ancient marine organisms."
104,abide,vt. & vi.,忍受，容忍；停留；遵守；持续；忍受；停留,"I cannot abide such rudeness.","You must abide by the rules of the club.","Though the memory fades, the feeling abides."
105,ozone,n.,[化学] 臭氧；新鲜的空气,"The ozone layer protects Earth from harmful ultraviolet radiation.","The air smelled of ozone after the lightning storm.","A hole in the ozone was discovered over Antarctica."
106,outcome,n.,结果，结局；成果,"We are waiting for the outcome of the election.","The likely outcome of a storm is flooding.","She was very pleased with the outcome of the test."
107,hazardous,adj.,有危险的；冒险的；碰运气的,"Transporting hazardous materials requires special care.","Working in a mine is a hazardous occupation.","The icy roads made driving extremely hazardous."
108,transmission,n.,传动装置，[机] 变速器；传递；传送；播送,"The car has an automatic transmission.","The transmission of the virus can be prevented with masks.","We are experiencing a break in transmission from the satellite."
109,volume,n.,量；体积；卷；音量；大量；册,"Can you turn up the volume on the television?","What is the volume of this container?","She owns a rare volume of poetry."
110,petition,n. & vi.,请愿；请愿书；祈求；[法] 诉状；请愿；请求；恳求,"Over a thousand people signed the petition against the development.","The lawyer filed a petition for divorce on behalf of his client.","We will petition the government for safer roads."
111,economics,n.,经济学；国家的经济状况,"He is a professor of economics at Harvard.","The economics of the scheme are completely unsound.","Home economics is a useful subject for daily life."
112,amortize,vt.,摊销；分期偿还,"They will amortize the loan over a twenty-year period.","The accounting team decided to amortize the software development costs.","It's common to amortize intangible assets like patents."
113,impair,vt.,损害；削弱；减少,"Alcohol can impair your ability to drive safely.","Loud noise can permanently impair your hearing.","His progress in school was impaired by his illness."
114,vivid,adj.,生动的；鲜明的；鲜艳的,"She painted a vivid picture of life in the 18th century.","I have a vivid memory of my first day at school.","The garden was full of vivid red and yellow flowers."
115,scheme,n. & vi.,计划；组合；体制；诡计；搞阴谋；拟订计划,"The company introduced a new pension scheme.","The police uncovered a scheme to steal the paintings.","He spent all his time scheming against his rivals."
116,fundraiser,n.,资金筹集人；资金筹集活动,"The school is holding a fundraiser for new playground equipment.","She works as a professional fundraiser for a large charity.","The bake sale was a very successful fundraiser."
117,species,n.,物种，种类,"The giant panda is an endangered species.","A new species of frog has been discovered in the rainforest.","There are many different species of oak trees."
118,prospect,n. & vi.,前途；预期；景色；勘探，找矿,"The prospect of a new job is very exciting.","From the hill, there is a fine prospect of the valley.","The company is prospecting for gold in the desert."
119,comprise,vt.,包含；由…组成,"The United Kingdom comprises England, Scotland, Wales, and Northern Ireland.","The committee comprises ten members from different departments.","Water comprises about 60% of an adult's body weight."
120,obesity,n.,肥大，肥胖,"Obesity is a growing health problem in many developed countries.","A diet high in sugar and fat can lead to obesity.","The doctor warned him that his obesity was putting his heart at risk."
121,visible,adj.,明显的；看得见的；现有的；可得到的,"The scar on his arm is still visible.","The stars are clearly visible on a cloudless night.","There has been a visible improvement in his work."
122,betray,vt.,背叛；出卖；泄露（秘密）；露出…迹象,"He would never betray his country's secrets.","Her shaking hands betrayed her nervousness.","I felt completely betrayed when I discovered the truth."
123,data,n.,数据；资料,"The experiment produced a huge amount of data.","All your personal data is stored securely on our server.","The data shows that the new drug is effective."
124,deity,n.,神；神性,"Apollo was an important Greek deity.","Many cultures worship a sun deity.","The ancient temple was built to honor a local deity."
125,responsibility,n.,责任，职责；义务,"It is your responsibility to feed the cat.","Owning a business comes with many responsibilities.","She takes her role as a mother very seriously and responsibility."
126,survival,n.,幸存，残存；幸存者，残存物,"The survival of the crew depended on finding fresh water.","In the wild, it's a constant struggle for survival.","The survival of the company is at stake."
127,deliberate,adj. & vt.,故意的；深思熟虑的；从容的；仔细考虑；商议,"Was it an accident, or was it a deliberate act?","The jury will deliberate for several days to reach a verdict.","She walked with deliberate, measured steps."
128,rash,n. & adj.,（皮肤）皮疹；（非正式）突然大量出现的事物；轻率的，鲁莽的；不顾后果的,"The new soap gave me an allergic rash on my hands.","Don't make any rash decisions you might regret later.","There was a rash of car thefts in the neighborhood."
129,delicate,adj.,微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的,"This is a very delicate situation and needs to be handled carefully.","The china cup was so delicate it broke in my hand.","The soup had a delicate flavor of herbs."
130,corridor,n.,走廊,"Her office is at the end of the corridor.","The hotel corridor was long and dimly lit.","A corridor of trees lined the driveway."
131,unreliable,adj.,不可靠的；靠不住的,"My car is old and very unreliable.","He is completely unreliable and forgets everything.","The witness's testimony was considered unreliable by the judge."
132,itchy,adj.,发痒的；令人感到瘙痒的；渴望的,"This wool sweater is making my skin very itchy.","After the mosquito bite, my arm was red and itchy.","She has itchy feet and is planning her next trip abroad."
133,credit,n. & vt.,信用，信誉；[金融] 贷款；学分；信任；声望；相信，信任；把…归给，归功于；赞颂,"She got a credit card to buy the furniture.","I got full credit for my chemistry course.","The credit for this success goes to the whole team."
134,cost-effective,adj.,划算的；成本效益好的,"Using email is a cost-effective way to communicate.","The company needs to find a more cost-effective production method.","Solar panels are becoming increasingly cost-effective for homeowners."
135,persistence,n.,持续；固执；存留；坚持不懈；毅力,"Her persistence in applying finally landed her the job.","Learning a new skill requires patience and persistence.","The persistence of the headache worried her."
136,color,n. & vt.,颜色；肤色；颜料；脸色；粉饰；给...涂颜色；歪曲,"My favorite color is blue.","The child used bright colors to paint the picture.","Don't let your personal feelings color your judgment."
137,expectancy,n.,期望，期待,"Life expectancy has increased dramatically in the last century.","The air was full of happy expectancy before the concert.","We had a mood of hopeful expectancy about the new project."
138,accolade,n.,荣誉；荣誉称号授予仪式；连谱号；称赞,"Being nominated for the award was a great accolade.","The book received accolades from critics and readers alike.","His career has earned him many accolades."
139,praise,v. & n.,赞扬；（尤指唱歌）歌颂（上帝）；赞扬，称赞；（对上帝的）颂扬；崇拜,"The manager praised her team for their hard work.","Her new novel has received high praise from critics.","Let us praise the Lord for his goodness."
140,consolidate,vt. & vi.,巩固，使固定；联合,"The two companies are planning to consolidate their operations.","He used the time to consolidate his power over the kingdom.","We need to consolidate all our debts into one loan."
141,healthcare,n.,医疗保健；健康护理，健康服务；卫生保健,"Access to affordable healthcare is a major political issue.","She works in the healthcare industry as a physical therapist.","The government is increasing its spending on public healthcare."
142,widespread,adj.,普遍的，广泛的；分布广的,"The storm caused widespread damage throughout the city.","There is widespread support for the new environmental law.","The use of mobile phones is now widespread."
143,groundwater,n.,地下水,"The town's drinking water comes from a groundwater aquifer.","Pollution from the factory seeped into the groundwater.","Scientists monitor groundwater levels to predict drought."
144,establish,v.,建立，创立；确立；获得接受；查实，证实,"They plan to establish a new university in the city.","The police are trying to establish the cause of the fire.","The novel established her reputation as a great writer."
145,recall,vt. & n.,召回；回想起，记起；取消,"I don't recall agreeing to that meeting time.","The company issued a recall for the faulty toaster.","She has total recall of every conversation she has."
146,wholesale,n. & adj.,批发；批发的；大规模的,"He buys his supplies wholesale directly from the manufacturer.","The fire resulted in the wholesale destruction of the forest.","Wholesale prices are much lower than retail prices."
147,mammal,n.,[脊椎] 哺乳动物,"Humans, dogs, and whales are all mammals.","The platypus is a mammal that lays eggs.","Mammals feed their young with milk."
148,global warming,n.,全球变暖,"Global warming is causing polar ice caps to melt.","Reducing carbon emissions is crucial to slowing global warming.","Many species are threatened by global warming."
149,borrow,vi. & vt.,借；借用；从其他语言中引入,"Can I borrow your pen for a minute?","The English word 'ballet' is borrowed from French.","He borrowed a book from the library."
150,solstice,n.,至，至日；至点,"The summer solstice is the longest day of the year.","Ancient people celebrated the winter solstice with festivals.","Stonehenge is aligned with the sunrise on the solstice."
151,meteorological,adj.,气象的；气象学的,"The meteorological office has issued a severe weather warning.","Meteorological data is collected from thousands of stations.","We study meteorological phenomena such as hurricanes and tornadoes."
152,extracurricular,adj.,课外的；业余的；婚外的,"The school encourages students to join extracurricular activities.","Playing in the orchestra is a popular extracurricular choice.","He decided to take up an extracurricular project in robotics."
153,identity,n.,身份；同一性，一致；特性；恒等式,"The identity of the thief is still unknown.","He had an identity crisis after graduating from college.","National identity is often tied to language and culture."
154,geological,adj.,地质的，地质学的,"The Grand Canyon is a remarkable geological formation.","A geological survey revealed oil beneath the desert.","We went on a geological field trip to study volcanoes."
155,food chain,n.,[生态] 食物链,"Algae are at the bottom of the ocean's food chain.","Disrupting one part of the food chain affects all species.","Lions are at the top of the African food chain."
156,rhythm,n.,节奏；韵律,"The music has a great beat and rhythm.","I love the rhythm of the ocean waves on the shore.","Her body moved to the rhythm of the salsa music."
157,stratum,n.,（组织的）层；[地质] 地层；社会阶层,"A stratum of sedimentary rock is visible in the cliff face.","They come from a higher social stratum.","Archaeologists discovered artifacts in a deeper stratum of the dig site."
158,unique,adj. & n.,独特的，稀罕的；[数] 唯一的，独一无二的,"Every snowflake has a unique pattern.","Her talent is unique to her generation.","This is a unique opportunity that you shouldn't miss."
159,family,n.,家庭；亲属；家族；子女；[生]科；语族；[化]族,"My family is planning a reunion this summer.","Lions belong to the cat family.","Family is the most important thing in her life."
160,acrylic,adj.,丙烯酸的,"She prefers acrylic paints over watercolors for her art.","The shop sells soft, colorful acrylic yarn for knitting.","An acrylic stand was used to display the brochure."
161,exposure,n.,暴露；曝光；揭露；陈列,"Prolonged exposure to the sun can cause skin cancer.","The scandal received widespread exposure in the media.","Exposure to new languages helps children learn faster."
162,specialist,n. & adj.,专家；专门医师；专家的；专业的,"She was referred to a heart specialist for further tests.","We need a specialist opinion on the legal contract.","He is a marketing specialist with years of experience."
163,anaphylaxis,n.,[医] 过敏性；[医] 过敏性反应,"A severe peanut allergy can cause anaphylaxis and be fatal.","She carries an epinephrine pen in case of anaphylaxis.","Symptoms of anaphylaxis include swelling of the throat and difficulty breathing."
164,monitor,n. & vt.,监视器；监听器；监控器；显示屏；班长；监控,"The nurse will monitor the patient's heart rate overnight.","I bought a new 27-inch computer monitor for my desk.","The class monitor helps the teacher keep order."
165,in advance,adv.,预先，提前,"You must book your tickets in advance to get a discount.","I prepared all the food in advance for the party.","Thank you in advance for your time and consideration."
166,effect,n. & vt.,影响；效果；作用；产生；达到目的,"The medicine had an immediate effect on the pain.","The new law will come into effect next year.","The new president hopes to effect a change in the country's mood."
167,resolution,n.,[物] 分辨率；决议；解决；决心,"My New Year's resolution is to learn Spanish.","The UN passed a resolution condemning the attack.","A high-resolution photo looks sharper and clearer."
168,twin room,n.,两张单人床的双人房,"I would like to book a twin room for two nights, please.","The hotel has both double and twin room options available.","We shared a twin room during our school trip."
169,impulsive,adj.,冲动的；受感情驱使的；任性的,"He made an impulsive decision to quit his job and travel.","Her impulsive nature often gets her into trouble.","Try not to be so impulsive and think things through first."
