id,english word,type,chinese meaning,sentence1,sentence2,sentence3
"14","service","n., adj., vt.","服务，服侍；服役；仪式；服务性的；维修，保养","The restaurant is known for its excellent customer service.","He completed his military service last year.","I need to take my car to the garage for a service."
"15","policy","n.","政策，方针；保险单","The school has a strict policy against bullying.","The company updated its privacy policy to protect users' data.","She purchased a life insurance policy for her family."
"16","area","n.","区域，地区；面积；范围","The kitchen has a dining area with a large table.","The total area of the park is over 500 acres.","He is an expert in the area of renewable energy."
"17","cumulative","adj.","累积的","The cumulative effect of many late nights left her exhausted.","Cumulative rainfall this year has exceeded the average.","The course uses cumulative grading based on all assignments."
"18","renewal","n.","更新，恢复；复兴；补充；革新；续借","The renewal of his passport took two weeks.","Spring is a season of renewal and growth.","The gym offers a discount on membership renewal."
"19","landfill","n.","垃圾填埋地；垃圾堆","The city is running out of space for its landfill sites.","Recycling programs help reduce the amount of waste sent to landfills.","A strong smell often comes from the nearby landfill."
"20","rhetoric","n., adj.","修辞，修辞学；华丽的词藻；花言巧语的","The politician's rhetoric appealed to many voters.","Her speech was full of empty rhetoric with no real substance.","In college, he took a class on classical rhetoric."
"21","mental health","","[心理] 心理健康","Taking breaks is important for your mental health.","The company offers resources to support employee mental health.","Many schools now teach students about mental health awareness."
"22","artist","n.","艺术家；美术家（尤指画家）；大师","The artist spent months working on her latest sculpture.","He is a famous street artist known for his murals.","She is a true artist when it comes to designing clothes."
"23","bias","n., vt., adj., adv.","偏见；偏爱；斜纹；使存偏见；偏斜的","The judge must not show any bias during the trial.","The news report was criticized for its political bias.","Her natural bias towards sweets made her choose the chocolate cake."
"24","irrigation","n.","灌溉；[临床] 冲洗；冲洗法","Modern irrigation systems help farmers grow crops in dry areas.","The ancient civilization built canals for irrigation.","Nasal irrigation can relieve symptoms of a sinus infection."
"25","similar","adj., n.","相似的；类似物","The two houses look very similar from the outside.","Her opinion is similar to mine on this issue.","I have a jacket similar in style to yours."
"26","check-out","n.","结帐；检查；付款处","The check-out time at the hotel is 11 a.m.","She waited in line at the check-out counter.","We need to do a final check-out of the equipment before signing off."
"27","fission","n.","裂变；分裂；分体；分裂生殖法","Nuclear fission releases a tremendous amount of energy.","Some organisms reproduce by binary fission.","The discovery of nuclear fission changed the course of history."
"28","flaw","n., v., vi.","瑕疵，缺点；裂缝；使生裂缝；变得有缺陷","There was a slight flaw in the diamond that reduced its value.","A major design flaw caused the product to malfunction.","The mirror was flawed by several scratches."
"29","prudence","n.","审慎","Financial prudence is essential for a secure retirement.","She advised him to show prudence when making the investment.","Driving with prudence can prevent many accidents."
"30","aerobic","adj.","需氧的；增氧健身法的","Running and swimming are excellent forms of aerobic exercise.","Aerobic bacteria need oxygen to survive.","She attends an aerobic class at the gym three times a week."
"31","eruption","n.","爆发，喷发；火山灰；出疹","The volcanic eruption covered the town in a thick layer of ash.","A sudden eruption of anger scared his friends.","The skin eruption was diagnosed as an allergic reaction."
"32","mental","adj., n.","精神的；脑力的；疯的；精神病患者","Solving puzzles is good for your mental agility.","He suffered from a mental breakdown after the trauma.","The old hospital used to treat the mentally ill."
"33","rise","v., n.","攀升；起床；升起；增加；上升；加薪","The sun will rise at 6:30 tomorrow morning.","Prices tend to rise during the holiday season.","She received a pay rise after her successful performance review."
"34","significant","adj., n.","重大的；有效的；有意义的；象征","There has been a significant increase in online sales.","He played a significant role in the peace negotiations.","The ring held significant sentimental value for her."
"35","insight","n.","洞察力；洞悉","The book provides valuable insight into the author's creative process.","Her analysis showed great insight into the market trends.","The interview offered a fascinating insight into the life of a dancer."
"36","fantasy","n., adj., vt., vi.","幻想；白日梦；虚幻的；空想","His fantasy was to travel around the world in a hot air balloon.","The novel blends reality with pure fantasy.","She enjoyed fantasy films with dragons and magic."
"37","authoritative","adj.","有权威的；命令式的；当局的","The article was written by an authoritative expert on climate change.","The teacher spoke in an authoritative tone that demanded attention.","You should consult an authoritative source for accurate information."
"38","deteriorate","vi., vt.","恶化，变坏","If the wound is not cleaned, your condition may deteriorate.","The weather is expected to deteriorate rapidly this evening.","Relations between the two countries have continued to deteriorate."
"39","brand","n., v.","品牌，商标；类型；烙印；败坏名声；加商标于","She always buys the same brand of coffee.","The cattle were branded with the ranch's mark.","The incident branded him a liar in the public eye."
"40","login","n., vt., vi.","[计] 进入系统；登录；注册","Please enter your username and password to login.","You need a secure login to access the company network.","I forgot my login details and had to reset my password."
"41","quality","n., adj.","质量，品质；特性；优质的；高品质的","The quality of the product is guaranteed for two years.","She has all the qualities of a great leader.","We only use quality ingredients in our cooking."
"42","reservation","n.","预约，预订；保留","I made a reservation for two at the restaurant.","The hotel confirmed my reservation by email.","He agreed to the plan without any reservation."
"43","audit","n., v.","审计，稽核；查账；审查；旁听","The company faces an annual financial audit.","The tax authority is auditing his business accounts.","She decided to audit a history course at the local college."
"44","parliament","n.","议会，国会","The bill was passed by a majority vote in parliament.","Protesters gathered outside the houses of parliament.","She was elected as a member of parliament in the last election."
"45","authorize","vt.","批准，认可；授权给；委托代替","The manager must authorize this payment before it can be processed.","I authorize you to act on my behalf during my absence.","The security system requires a code to authorize entry."
"46","luxury","n., adj.","奢侈，奢华；奢侈品；奢侈的","Traveling first class is a luxury few can afford.","They stayed in a luxury hotel overlooking the ocean.","A hot bath is one of life's simple luxuries."
"47","broker","n., vi., vt.","经纪人，掮客；作为权力经纪人进行谈判；以中间人身份安排","The real estate broker showed us several apartments.","He works as an insurance broker in the city.","The UN is trying to broker a peace agreement between the two nations."
"48","telecommute","vi., vt.","（利用电脑终端机）远距离工作","Many employees now telecommute at least one day a week.","She prefers to telecommute to avoid a long commute.","The company allows its staff to telecommute from home."
"49","cough","v., n.","咳嗽；咳出；突然发出刺耳的声音；咳嗽声","She couldn't stop coughing during the concert.","A dry cough can be a symptom of the flu.","He let out a small cough to get the teacher's attention."
"50","perception","n.","认识能力；知觉，感觉；洞察力；看法","People's perception of beauty varies from culture to culture.","The drug can alter your visual perception.","His perception of the situation was surprisingly accurate."
"51","ratify","vt.","批准；认可","The heads of state are expected to ratify the treaty next week.","The union members voted to ratify the new contract.","Parliament must ratify the amendment before it becomes law."
"52","dramatic","adj.","巨大的；急剧的；引人注目的；令人激动的；戏剧的","There has been a dramatic improvement in his health.","The sunset painted the sky in dramatic shades of red and orange.","She made a dramatic entrance in a long, flowing gown."
"53","negotiate","vt., vi.","谈判，商议；转让；越过","The union is preparing to negotiate a new wage deal.","We managed to negotiate a lower price for the car.","The driver carefully negotiated the sharp bend in the road."
"54","cognitive","adj.","认知的，认识的","Playing chess can improve cognitive skills.","Cognitive development is rapid in early childhood.","The patient showed signs of cognitive impairment after the stroke."
"55","market","n., vt., vi.","市场；行情；股票市场；在市场上出售；做买卖","We went to the local market to buy fresh vegetables.","The company plans to market its new product globally.","The stock market has been very volatile this week."
"56","competitive","adj.","竞争的；比赛的；求胜心切的","She is very competitive and always wants to win.","The job market is highly competitive for graduates.","They offer competitive prices to attract more customers."
"57","emission","n.","（光、热等的）发射，散发；喷射；发行","The government is tightening limits on car exhaust emissions.","The emission of greenhouse gases contributes to global warming.","The star's emission of light can be seen from Earth."
"58","depression","n.","沮丧；忧愁；抑郁症；洼地；不景气","He has been suffering from depression for several months.","The economic depression caused high unemployment rates.","Rainwater collected in a shallow depression in the ground."
"59","resilience","n.","恢复力；弹力；顺应力","Her resilience helped her overcome many personal challenges.","The resilience of the rubber band made it a useful tool.","Children often show remarkable resilience after difficult events."
"60","photography","n.","摄影；摄影术","He took up photography as a hobby during the lockdown.","Digital photography has replaced traditional film in most areas.","The exhibition features stunning wildlife photography."
"61","deprive","vt.","使丧失，剥夺","Lack of sleep can deprive you of energy and focus.","No one has the right to deprive another person of their freedom.","The harsh winter deprived the animals of food."
"62","reviewed","v.","复习；评估；评论；检讨（review的过去分词）","The editor reviewed the manuscript before publication.","She reviewed her notes carefully before the exam.","The committee reviewed the proposal and approved the funding."
"63","accounting","n., v.","会计，会计学；账单；解释","She is studying accounting at the university.","Proper accounting practices are essential for any business.","The finance department handles all accounting tasks."
"64","hospital","n.","医院","He was rushed to the hospital after the accident.","She works as a nurse at the children's hospital.","The nearest hospital is about ten miles away."
"65","paradigm","n.","范例；词形变化表","The internet has created a new paradigm for communication.","This discovery could shift the current scientific paradigm.","The company's business model became a paradigm for success."
"66","hieroglyph","n.","象形文字；图画文字；秘密符号","The ancient Egyptians used hieroglyphs to record their history.","The archaeologist deciphered the hieroglyph on the stone tablet.","His notebook was filled with strange hieroglyphs that only he understood."
"67","conflict","n., vi.","冲突，矛盾；斗争；争执；抵触","The dispute escalated into a serious conflict.","Her work schedule often conflicts with her family time.","The two reports contain conflicting information."
"68","deceitful","adj.","欺骗的；欺诈的；谎言的；虚伪的","It was deceitful of him to hide the truth from his partners.","A deceitful person will eventually lose the trust of others.","The advertisement was criticized for being deceitful about the product's benefits."
"69","independence","n.","独立性，自立性；自主","The country gained its independence in 1960.","She values her financial independence highly.","Moving out was a big step towards personal independence."
"70","guest speaker","","嘉宾演讲者：受邀在会议、研讨会或其他活动中发表演讲的专家或名人。","The university invited a Nobel laureate as the guest speaker for the graduation ceremony.","Our guest speaker today will talk about innovation in technology.","After the dinner, the guest speaker delivered an inspiring address."
"71","corrupt","adj., vt., vi.","腐败的，贪污的；堕落的；使腐烂；使堕落","The corrupt official was sentenced to ten years in prison.","Power can corrupt even the most well-intentioned people.","The files on the computer became corrupt and could not be opened."
"72","experiment","n., v.","实验，试验；尝试；进行实验","The students conducted an experiment to measure gravity.","She decided to experiment with a new recipe for dinner.","The results of the scientific experiment were published in a journal."
"73","digital","adj., n.","数字的；手指的；数字","I store all my photos in a digital format.","A digital clock shows the time in bright red numbers.","The transition from analog to digital technology has been rapid."
"74","intangible","adj.","无形的，触摸不到的；难以理解的","Goodwill is an intangible asset for a business.","The atmosphere in the stadium was an intangible feeling of excitement.","Cultural heritage often includes intangible elements like music and dance."
"75","recovery","n.","恢复，复原；痊愈；重获","She made a full recovery after the surgery.","The economy is showing signs of recovery.","Data recovery specialists managed to restore the lost files."
"76","honorable","adj.","光荣的；可敬的；高贵的","Retiring after forty years of service, he had an honorable career.","It is honorable to admit your mistakes and apologize.","The judge was known as a fair and honorable man."
"77","precipitation","n.","[化学] 沉淀，沉淀物；降水；冰雹；坠落","The western region expects heavy precipitation throughout the weekend.","A yellow precipitate formed at the bottom of the test tube.","The forecast predicts a high chance of precipitation tomorrow."
"78","orientate","v.","朝向，面向；确定方向；使熟悉，适应","The building is orientated to face south for maximum sunlight.","New staff are given a tour to orientate them with the facilities.","It took him a few days to orientate himself in the new city."
"79","alumni","n.","校友，毕业生","The university hosts a reunion for its alumni every year.","He joined the alumni association to network with former classmates.","Several prominent business leaders are alumni of this school."
"80","stratosphere","n.","平流层，同温层；最上层；最高阶段","The ozone layer is located in the stratosphere.","The balloon ascended into the stratosphere.","After the hit song, her career skyrocketed into the stratosphere."
"81","disposal","n.","处理；支配；清理；安排","The disposal of hazardous waste must follow strict regulations.","I am at your disposal if you need any help.","They bought a garbage disposal unit for the kitchen sink."
"82","phonetics","n.","发音学，语音学","She is studying phonetics to improve her English pronunciation.","The course covers the basics of articulatory phonetics.","Phonetics helps linguists understand the sounds of different languages."
"83","sincere","adj.","真诚的；诚挚的；真实的","Please accept my sincere apologies for the mistake.","Her smile was warm and sincere.","He made a sincere effort to change his behavior."
"84","coincide","vi.","一致，符合；同时发生","The festival was planned to coincide with the harvest season.","Her interests happen to coincide with mine.","The two meetings are scheduled to coincide, so I can only attend one."
"85","classroom","n.","教室","The students entered the classroom quietly.","The new classroom is equipped with a smart board.","Classroom discussions help students develop critical thinking."
"86","relevant","adj.","相关的；切题的；中肯的；有重大关系的","Please provide documents that are relevant to the case.","Her experience in marketing is highly relevant to this job.","Ask questions that are relevant to the topic of discussion."
"87","volunteerism","n.","志愿精神；志愿服务","The spirit of volunteerism is strong in this community.","Volunteerism provides opportunities to give back to society.","The award recognizes outstanding youth volunteerism."
"88","obtain","vi., vt.","获得；流行","You need a license to obtain this medication.","The information was difficult to obtain.","These customs no longer obtain in modern society."
"89","persevere","vi.","坚持；不屈不挠；固执己见","Despite the challenges, she decided to persevere with her studies.","If you persevere, you will eventually master the skill.","He was determined to persevere until he found a solution."
"90","traditional","adj.","传统的；惯例的","They serve traditional Italian food at the restaurant.","The bride wore a traditional white dress.","In traditional farming, horses were used to plow fields."
"91","debate","n., v.","辩论；讨论；辩论；仔细考虑","The two candidates participated in a lively debate on live TV.","Scientists are still debating the cause of the phenomenon.","We debated whether to drive or take the train."
"92","courteous","adj.","有礼貌的；谦恭的","The hotel staff were very courteous and helpful.","It is courteous to hold the door open for others.","She wrote a courteous reply to decline the invitation."
"93","revolution","n.","革命；旋转；运行；循环","The Industrial Revolution transformed the way people lived.","The earth completes one revolution around the sun every year.","The invention of the smartphone was a technological revolution."
"94","clause","n.","条款；[计] 子句","The contract includes a penalty clause for late delivery.","A complex sentence often contains more than one clause.","The 'where' clause in SQL is used to filter records."
"95","bacteria","n.","[微] 细菌","Wash your hands to get rid of harmful bacteria.","Some bacteria in the gut are beneficial for digestion.","The lab is studying how bacteria develop resistance to antibiotics."
"96","cathedral","n.","大教堂","The Gothic cathedral attracted thousands of tourists.","They lit a candle inside the quiet cathedral.","The bishop delivered a sermon in the cathedral on Easter Sunday."
"97","impart","vt.","告知，传授；透露；赋予，给予","A good teacher can impart knowledge with enthusiasm and clarity.","The herbs impart a unique flavor to the dish.","He was eager to impart his wisdom to the younger generation."
"98","sex","n., vt.","性；性别；性行为；色情；引起…的性欲","Please indicate your sex and date of birth on the form.","Health classes provide education about sex and relationships.","The vet can sex the chicks to determine which are female."
"99","merit","n., vt.","优点，价值；功绩；值得","Her suggestion had great merit and was adopted immediately.","Promotions should be based on merit, not favoritism.","The proposal merits serious consideration from the committee."
"100","exit","n., vi.","出口，通道；退场；退出","The emergency exit is located at the back of the building.","Please exit the theater in an orderly fashion.","He made a quick exit from the party."
"101","athletics","n.","竞技；体育运动；田径运动","She excels in athletics and has won several medals.","The school invests heavily in its athletics program.","Participating in athletics teaches teamwork and discipline."
"102","literature","n.","文学；文献；文艺；著作","He is a professor of English literature at the university.","Before starting the experiment, we reviewed the relevant scientific literature.","The course covers classic works of world literature."
